交易年,消费大区,业务中类,首购订单数,复购订单数,唤醒订单数,会员数,作品数,款数,交易金额,交易件数,订单数,吊牌价均值,吊牌价标准差,吊牌价最小值,吊牌价10分位,吊牌价25分位,吊牌价中位数,吊牌价75分位,吊牌价90分位,吊牌价最大值,成交价均值,成交价标准差
2022,可隆-华东,其他,285,299,101,572,1176,505,264852.74,1176,685,306.19,50.75,209.77,242.75,273.2,306.19,339.18,369.62,412.76,233.44,57.03
2022,可隆-华东,卫衣,940,1531,162,2387,4310,2553,3669494.4,4310,2633,1330.23,241.94,870.55,1027.81,1172.97,1330.23,1487.49,1632.65,1838.3,880.18,180.37
2022,可隆-华东,抓绒夹克,1014,750,322,1618,3504,1244,4561316.69,3504,2086,2056.13,505.57,1095.54,1424.16,1727.51,2056.13,2384.75,2688.1,3117.84,1446.67,332.41
2022,可隆-华东,棉服,794,882,206,1616,3255,2182,4420107.94,3255,1882,2379.81,697.03,1055.45,1508.52,1926.74,2379.81,2832.88,3251.1,3843.58,1466.64,189.43
2022,可隆-华东,短袖T恤,2317,1142,774,3441,6107,4198,3449918.21,6107,4233,683.91,209.6,285.67,421.91,547.67,683.91,820.15,945.91,1124.07,557.59,75.75
2022,可隆-华东,短裤,637,525,271,1433,2365,915,1323551.6,2365,1433,743.21,198.97,365.16,494.49,613.87,743.21,872.54,991.93,1161.05,563.33,83.2
2022,可隆-华东,羽绒服,852,1357,420,2560,4524,3277,13513847.87,4524,2629,3538.23,957.55,1718.89,2341.3,2915.82,3538.23,4160.63,4735.16,5549.08,2879.06,384.41
2022,可隆-华东,衬衫,775,933,259,1738,2486,1247,2230781.16,2486,1967,1132.47,233.23,689.33,840.93,980.87,1132.47,1284.07,1424.01,1622.26,971.87,167.55
2022,可隆-华东,软壳夹克,1356,1000,367,2111,4022,1994,9145194.66,4022,2723,2790.42,773.66,1320.47,1823.35,2287.54,2790.42,3293.3,3757.5,4415.11,2247.62,367.0
2022,可隆-华东,连衣裙,248,276,102,463,981,419,1150441.25,981,626,1682.73,282.6,1145.8,1329.49,1499.05,1682.73,1866.42,2035.98,2276.18,1223.97,290.74
2022,可隆-华东,配件,951,1286,350,1975,3595,1948,1205289.23,3595,2587,415.27,128.11,171.86,255.13,332.0,415.27,498.55,575.42,684.31,348.21,85.26
2022,可隆-华东,针织夹克,590,793,287,1330,3159,1779,4158990.43,3159,1670,1603.65,412.89,819.17,1087.55,1335.28,1603.65,1872.03,2119.76,2470.71,1210.96,301.17
2022,可隆-华东,长袖T恤,833,1542,312,2824,3536,1332,2211526.76,3536,2687,1072.47,307.78,487.69,687.74,872.41,1072.47,1272.53,1457.19,1718.81,661.72,90.55
2022,可隆-华东,长裤,1245,2599,433,3522,6798,3638,6279795.64,6798,4277,1314.5,305.7,733.67,932.38,1115.8,1314.5,1513.21,1696.63,1956.47,935.56,240.64
2022,可隆-华东,防水夹克,2258,3319,566,5338,9974,5869,20625368.78,9974,6143,3250.85,700.37,1920.16,2375.4,2795.62,3250.85,3706.09,4126.31,4721.62,2058.6,565.29
2022,可隆-华东,防风夹克,824,2218,229,3366,4701,3299,9060041.76,4701,3271,2494.96,398.96,1736.94,1996.26,2235.64,2494.96,2754.28,2993.66,3332.78,1901.0,531.38
2022,可隆-华东,鞋,955,2051,331,2424,5655,3373,7460800.54,5655,3337,2061.61,507.6,1097.18,1427.12,1731.67,2061.61,2391.55,2696.11,3127.57,1317.17,178.09
2022,可隆-华东,马夹,508,413,155,1220,1759,700,2738007.05,1759,1076,1912.32,474.11,1011.5,1319.67,1604.14,1912.32,2220.49,2504.96,2907.96,1440.19,387.41
2022,可隆-华北,POLO,1578,1218,395,2542,5009,1985,3247123.41,5009,3191,964.97,280.54,431.94,614.29,782.62,964.97,1147.32,1315.65,1554.11,634.6,126.33
2022,可隆-华北,三合一夹克,646,773,164,1385,2554,1262,8263689.82,2554,1583,4434.05,965.09,2600.37,3227.68,3806.74,4434.05,5061.36,5640.41,6460.74,3072.17,676.38
2022,可隆-华北,其他,220,296,35,445,791,548,165090.58,791,551,265.37,48.35,173.5,204.93,233.94,265.37,296.8,325.81,366.91,206.22,45.27
2022,可隆-华北,卫衣,1303,1098,376,2388,4562,2378,5722795.04,4562,2777,1410.71,268.11,901.3,1075.57,1236.44,1410.71,1584.98,1745.85,1973.74,1250.11,210.96
2022,可隆-华北,抓绒夹克,927,765,129,1502,3474,1862,3039012.26,3474,1821,1447.28,330.19,819.92,1034.54,1232.66,1447.28,1661.91,1860.02,2140.68,893.72,248.17
2022,可隆-华北,棉服,783,980,186,1570,2892,1999,6346826.06,2892,1949,2792.56,819.62,1235.29,1768.04,2259.81,2792.56,3325.31,3817.09,4513.76,2315.07,406.72
2022,可隆-华北,短袖T恤,1886,1610,544,3535,6713,4650,3581522.06,6713,4040,738.89,105.4,538.63,607.14,670.38,738.89,807.39,870.63,960.22,587.3,148.2
2022,可隆-华北,短裤,632,952,205,1420,2269,855,1420609.41,2269,1789,832.13,136.62,572.55,661.35,743.33,832.13,920.94,1002.91,1119.04,573.14,102.28
2022,可隆-华北,羽绒服,692,1631,395,2449,4856,2961,8251638.32,4856,2718,2824.26,824.25,1258.19,1793.95,2288.5,2824.26,3360.02,3854.57,4555.18,1855.75,412.0
2022,可隆-华北,衬衫,759,969,228,1525,3212,2202,2602449.03,3212,1956,1166.16,370.89,461.47,702.55,925.08,1166.16,1407.24,1629.78,1945.04,775.42,162.03
2022,可隆-华北,软壳夹克,1049,1697,454,2657,4222,2525,7720280.13,4222,3200,2584.09,656.56,1336.62,1763.39,2157.33,2584.09,3010.86,3404.8,3962.87,1914.72,530.55
2022,可隆-华北,连衣裙,103,306,49,401,708,531,751530.27,708,458,1349.69,363.3,659.42,895.56,1113.55,1349.69,1585.84,1803.82,2112.63,1034.36,257.75
2022,可隆-华北,配件,705,991,264,2261,2689,1536,722256.4,2689,1960,408.9,111.15,197.71,269.96,336.65,408.9,481.14,547.83,642.31,259.33,49.38
2022,可隆-华北,针织夹克,776,978,375,1897,3921,2795,4594155.39,3921,2129,1467.16,245.19,1001.29,1160.67,1307.78,1467.16,1626.53,1773.65,1982.06,1086.66,161.86
2022,可隆-华北,长袖T恤,1213,1571,426,2995,4153,1828,1873310.55,4153,3210,732.09,157.63,432.6,535.05,629.63,732.09,834.55,929.12,1063.11,461.66,90.42
2022,可隆-华北,长裤,1624,1645,328,3653,3764,2379,4511458.43,3764,3597,1283.97,251.62,805.88,969.44,1120.41,1283.97,1447.52,1598.49,1812.37,1173.07,269.84
2022,可隆-华北,防水夹克,1217,2527,388,3344,6388,4024,16803528.53,6388,4132,3294.65,639.96,2078.73,2494.71,2878.68,3294.65,3710.63,4094.6,4638.57,2467.54,524.31
2022,可隆-华北,防风夹克,867,992,199,1529,3019,1115,5412506.57,3019,2058,2262.49,331.81,1632.06,1847.73,2046.82,2262.49,2478.16,2677.25,2959.28,1726.94,310.21
2022,可隆-华北,鞋,798,1097,279,2073,3712,2049,6677822.48,3712,2174,2331.21,648.9,1098.3,1520.08,1909.42,2331.21,2752.99,3142.33,3693.89,1750.28,448.64
2022,可隆-华北,马夹,381,717,94,1171,1693,722,2392873.38,1693,1192,1887.91,324.63,1271.12,1482.13,1676.9,1887.91,2098.92,2293.7,2569.63,1409.79,245.61
2022,可隆-华南,POLO,436,885,120,1249,2565,1110,1562763.0,2565,1441,958.39,144.62,683.62,777.62,864.39,958.39,1052.39,1139.16,1262.08,611.0,141.58
2022,可隆-华南,三合一夹克,738,627,300,1486,2503,917,7930872.73,2503,1665,4318.72,1350.72,1752.35,2630.32,3440.75,4318.72,5196.69,6007.12,7155.23,3024.57,412.79
2022,可隆-华南,其他,154,644,126,668,1272,824,232288.11,1272,924,289.75,45.77,202.78,232.53,259.99,289.75,319.5,346.96,385.87,191.16,29.19
2022,可隆-华南,卫衣,450,1096,250,1615,2009,828,1846284.93,2009,1796,1284.76,235.69,836.96,990.16,1131.57,1284.76,1437.96,1579.37,1779.7,953.02,163.54
2022,可隆-华南,抓绒夹克,454,990,174,1339,2498,1269,2904882.04,2498,1618,1611.58,252.91,1131.05,1295.44,1447.19,1611.58,1775.97,1927.72,2142.69,1192.94,312.96
2022,可隆-华南,棉服,1045,680,238,1394,3069,1813,7819324.43,3069,1963,2934.21,717.64,1570.69,2037.15,2467.74,2934.21,3400.67,3831.26,4441.26,2198.42,407.72
2022,可隆-华南,短袖T恤,1419,1926,571,3324,6682,3492,3276436.61,6682,3916,689.2,157.21,390.49,492.68,587.01,689.2,791.39,885.72,1019.35,495.56,85.88
2022,可隆-华南,短裤,383,511,126,936,1764,957,848691.91,1764,1020,720.95,134.6,465.21,552.7,633.46,720.95,808.44,889.2,1003.61,495.61,63.06
2022,可隆-华南,羽绒服,854,1426,577,2023,5098,2629,13694602.79,5098,2857,3301.64,819.24,1745.08,2277.59,2769.14,3301.64,3834.15,4325.7,5022.06,2603.02,402.47
2022,可隆-华南,衬衫,627,697,185,1206,2333,1395,2002213.58,2333,1509,1127.54,164.2,815.55,922.28,1020.8,1127.54,1234.27,1332.79,1472.37,826.09,113.75
2022,可隆-华南,软壳夹克,1217,1455,370,2637,4214,2884,6690160.54,4214,3042,2564.65,495.12,1623.92,1945.75,2242.82,2564.65,2886.48,3183.56,3604.41,1693.47,383.03
2022,可隆-华南,连衣裙,156,231,72,388,748,335,856936.11,748,459,1501.89,302.04,928.01,1124.34,1305.56,1501.89,1698.21,1879.44,2136.17,1121.8,306.01
2022,可隆-华南,配件,1021,839,361,1691,3525,2033,881224.42,3525,2221,388.06,101.66,194.9,260.98,321.98,388.06,454.14,515.13,601.54,245.76,58.03
2022,可隆-华南,针织夹克,768,720,128,1722,2582,1166,3595419.26,2582,1616,1571.47,438.64,738.05,1023.17,1286.36,1571.47,1856.59,2119.78,2492.63,1357.45,348.7
2022,可隆-华南,长袖T恤,1903,2075,624,3973,7948,5286,6035130.15,7948,4602,950.63,272.48,432.91,610.03,773.52,950.63,1127.75,1291.24,1522.85,779.65,206.15
2022,可隆-华南,长裤,1012,1986,394,2557,3967,1466,3213169.91,3967,3392,1168.16,233.09,725.3,876.8,1016.65,1168.16,1319.66,1459.52,1657.64,754.83,202.94
2022,可隆-华南,防水夹克,1956,2456,411,4009,8673,6147,15739269.73,8673,4823,3106.75,737.4,1705.69,2185.0,2627.44,3106.75,3586.06,4028.5,4655.29,1816.34,300.65
2022,可隆-华南,防风夹克,1070,1395,198,2383,4897,2727,5255539.86,4897,2663,2148.99,640.63,931.8,1348.21,1732.58,2148.99,2565.4,2949.77,3494.31,1183.38,213.78
2022,可隆-华南,鞋,981,992,304,2402,3632,2564,5082154.3,3632,2277,2089.87,570.42,1006.08,1376.85,1719.1,2089.87,2460.65,2802.9,3287.76,1290.73,220.39
2022,可隆-华南,马夹,600,774,202,1519,2603,1520,3054214.95,2603,1576,1910.33,273.15,1391.35,1568.89,1732.78,1910.33,2087.87,2251.76,2483.93,1176.36,328.08
2022,可隆-华西,POLO,980,935,405,2480,3533,1985,2262271.12,3533,2320,903.53,210.68,503.23,640.17,766.59,903.53,1040.47,1166.89,1345.97,659.16,130.84
2022,可隆-华西,三合一夹克,826,1298,157,1918,3162,2183,9566805.16,3162,2281,3915.84,721.09,2545.77,3014.48,3447.13,3915.84,4384.54,4817.2,5430.12,2943.78,687.78
2022,可隆-华西,其他,172,213,29,359,662,300,158636.0,662,414,366.02,93.73,187.94,248.86,305.1,366.02,426.94,483.18,562.84,223.2,37.12
2022,可隆-华西,卫衣,608,1198,274,1550,3125,1410,1625345.84,3125,2080,929.82,220.95,510.01,653.63,786.2,929.82,1073.43,1206.0,1393.81,542.72,79.48
2022,可隆-华西,抓绒夹克,322,419,101,640,1510,897,1820455.36,1510,842,1731.02,367.0,1033.73,1272.28,1492.48,1731.02,1969.57,2189.77,2501.72,1177.05,306.05
2022,可隆-华西,棉服,554,684,268,1344,2686,1089,4966483.3,2686,1506,2731.82,774.61,1260.06,1763.55,2228.32,2731.82,3235.32,3700.09,4358.51,1953.74,496.77
2022,可隆-华西,短袖T恤,1141,1628,388,2674,5243,2366,3808138.77,5243,3157,839.71,201.36,457.13,588.01,708.82,839.71,970.59,1091.4,1262.56,715.26,109.6
2022,可隆-华西,短裤,522,582,154,1053,1895,1043,836748.7,1895,1258,716.82,155.0,422.32,523.07,616.07,716.82,817.57,910.57,1042.31,427.59,89.09
2022,可隆-华西,羽绒服,727,836,264,1740,2544,1239,6427442.43,2544,1827,3957.92,890.93,2265.15,2844.25,3378.81,3957.92,4537.02,5071.58,5828.87,2719.14,739.63
2022,可隆-华西,衬衫,104,267,60,347,591,394,492567.98,591,431,1029.5,259.52,536.41,705.1,860.81,1029.5,1198.19,1353.91,1574.5,854.12,205.1
2022,可隆-华西,软壳夹克,1001,1097,361,2174,4220,1893,7556661.31,4220,2459,2688.65,753.0,1257.94,1747.4,2199.2,2688.65,3178.1,3629.9,4269.95,1670.23,430.42
2022,可隆-华西,连衣裙,94,193,36,332,457,173,658553.26,457,323,1530.62,471.31,635.13,941.48,1224.26,1530.62,1836.97,2119.75,2520.37,1263.56,349.92
2022,可隆-华西,配件,498,656,141,1140,2191,1602,721287.05,2191,1295,432.85,102.83,237.46,304.31,366.01,432.85,499.69,561.39,648.8,322.59,74.91
2022,可隆-华西,针织夹克,714,968,146,1568,2877,1182,2464782.35,2877,1828,1271.9,282.98,734.24,918.17,1087.96,1271.9,1455.84,1625.63,1866.16,889.74,125.14
2022,可隆-华西,长袖T恤,1033,986,207,2084,3709,2695,2172023.17,3709,2226,775.61,216.41,364.43,505.1,634.94,775.61,916.28,1046.13,1230.08,582.62,89.19
2022,可隆-华西,长裤,1571,1476,449,2699,5833,3951,6368815.24,5833,3496,1495.84,259.83,1002.16,1171.05,1326.95,1495.84,1664.73,1820.63,2041.48,1111.63,309.23
2022,可隆-华西,防水夹克,1209,1792,139,3393,4954,3681,11043001.15,4954,3140,3136.36,948.11,1334.96,1951.23,2520.09,3136.36,3752.63,4321.5,5127.39,2232.23,619.51
2022,可隆-华西,防风夹克,782,719,259,1667,3089,2223,5518939.08,3089,1760,2550.89,469.25,1659.31,1964.32,2245.88,2550.89,2855.91,3137.46,3536.32,1857.44,494.13
2022,可隆-华西,鞋,1001,973,308,1808,3029,1504,4659489.41,3029,2282,2265.55,440.53,1428.54,1714.89,1979.2,2265.55,2551.89,2816.21,3190.65,1576.35,428.14
2022,可隆-华西,马夹,592,790,214,1247,2556,1345,3850117.05,2556,1596,1922.36,387.6,1185.93,1437.87,1670.42,1922.36,2174.3,2406.86,2736.31,1510.78,279.96
2022,可隆-安徽,POLO,696,909,212,1539,3433,1320,1449905.09,3433,1817,775.41,213.45,369.86,508.6,636.67,775.41,914.15,1042.22,1223.65,434.13,60.36
2022,可隆-安徽,三合一夹克,607,422,135,1014,1400,903,3649499.89,1400,1164,3861.99,605.16,2712.19,3105.54,3468.64,3861.99,4255.34,4618.44,5132.82,2699.35,494.3
2022,可隆-安徽,其他,159,154,54,292,681,249,162328.31,681,367,339.13,82.82,181.77,235.61,285.3,339.13,392.97,442.66,513.06,234.0,28.25
2022,可隆-安徽,卫衣,518,992,262,1765,2546,1801,2887129.02,2546,1772,1340.79,381.12,616.66,864.39,1093.06,1340.79,1588.51,1817.18,2141.13,1055.49,209.62
2022,可隆-安徽,抓绒夹克,395,523,106,1084,1586,907,1988344.25,1586,1024,1461.41,326.08,841.86,1053.81,1249.46,1461.41,1673.37,1869.02,2146.19,1165.31,262.66
2022,可隆-安徽,棉服,704,826,192,1290,2048,1437,3822185.37,2048,1722,2374.32,668.6,1103.98,1538.57,1939.73,2374.32,2808.91,3210.07,3778.38,1860.68,321.74
2022,可隆-安徽,短袖T恤,1000,818,349,1800,3799,2812,2066624.85,3799,2167,778.65,164.08,466.9,573.55,672.0,778.65,885.3,983.75,1123.22,525.65,136.68
2022,可隆-安徽,短裤,335,505,32,692,1496,774,594174.44,1496,872,801.47,173.51,471.79,584.57,688.68,801.47,914.25,1018.36,1165.85,418.0,74.9
2022,可隆-安徽,羽绒服,867,1184,362,1686,4664,2421,10362177.12,4664,2413,3202.13,505.45,2241.77,2570.32,2873.59,3202.13,3530.67,3833.94,4263.57,2068.18,316.68
2022,可隆-安徽,衬衫,315,732,48,940,1533,857,952896.49,1533,1095,1091.6,228.54,657.37,805.92,943.05,1091.6,1240.15,1377.28,1571.54,646.21,105.53
2022,可隆-安徽,软壳夹克,656,666,232,1406,2612,1929,4554171.93,2612,1554,2732.49,627.8,1539.66,1947.73,2324.42,2732.49,3140.56,3517.24,4050.87,1847.26,367.58
2022,可隆-安徽,连衣裙,191,184,54,382,647,275,605590.66,647,429,1212.56,380.07,490.43,737.47,965.51,1212.56,1459.6,1687.65,2010.7,898.03,230.71
2022,可隆-安徽,配件,553,688,120,1150,2290,1176,911799.37,2290,1361,443.37,109.1,236.07,306.99,372.45,443.37,514.29,579.75,672.49,374.27,66.39
2022,可隆-安徽,针织夹克,389,403,76,688,1370,737,1231166.51,1370,868,1270.38,217.18,857.75,998.91,1129.22,1270.38,1411.55,1541.85,1726.45,882.54,231.62
2022,可隆-安徽,长袖T恤,783,910,335,1790,3333,1213,2066385.29,3333,2028,819.92,179.18,479.47,595.94,703.45,819.92,936.39,1043.9,1196.21,619.88,151.21
2022,可隆-安徽,长裤,276,684,75,914,1588,573,1136964.79,1588,1035,1166.86,337.38,525.83,745.13,947.56,1166.86,1386.16,1588.59,1875.37,748.18,174.84
2022,可隆-安徽,防水夹克,1433,1859,341,2712,6773,2510,19184610.55,6773,3633,3342.43,745.42,1926.13,2410.66,2857.91,3342.43,3826.96,4274.21,4907.82,2666.9,501.28
2022,可隆-安徽,防风夹克,805,800,216,1295,2719,1232,5382403.38,2719,1821,2615.86,631.16,1416.66,1826.91,2205.6,2615.86,3026.11,3404.8,3941.29,1903.8,458.6
2022,可隆-安徽,鞋,601,863,152,1479,2346,1655,4353229.42,2346,1616,2025.86,506.24,1064.01,1393.06,1696.8,2025.86,2354.91,2658.65,3088.95,1828.4,279.49
2022,可隆-安徽,马夹,106,484,41,668,741,555,1035504.93,741,631,1695.59,487.59,769.16,1086.1,1378.66,1695.59,2012.53,2305.09,2719.54,1400.55,285.95
2022,可隆-山西,POLO,1007,620,262,1670,2812,1334,1821871.94,2812,1889,943.81,142.86,672.38,765.24,850.95,943.81,1036.66,1122.38,1243.81,660.37,181.6
2022,可隆-山西,三合一夹克,335,552,239,921,1631,648,5207290.57,1631,1126,4546.22,1402.32,1881.82,2793.33,3634.72,4546.22,5457.73,6299.12,7491.08,3233.58,821.32
2022,可隆-山西,其他,155,168,22,282,556,302,109626.8,556,345,283.36,75.63,139.66,188.82,234.2,283.36,332.52,377.9,442.18,203.51,26.7
2022,可隆-山西,卫衣,623,930,95,1362,2891,1124,2098006.02,2891,1648,1231.64,214.21,824.63,963.87,1092.4,1231.64,1370.88,1499.4,1681.48,730.22,127.83
2022,可隆-山西,抓绒夹克,437,399,116,940,1271,825,1095551.22,1271,952,1481.65,260.39,986.9,1156.16,1312.39,1481.65,1650.9,1807.14,2028.47,857.27,188.85
2022,可隆-山西,棉服,294,576,152,996,1511,674,3472447.18,1511,1022,2736.98,613.49,1571.35,1970.12,2338.21,2736.98,3135.74,3503.84,4025.3,2260.78,413.11
2022,可隆-山西,短袖T恤,959,1205,175,1729,4220,1691,2172891.48,4220,2339,825.64,240.75,368.22,524.7,669.15,825.64,982.12,1126.57,1331.2,494.41,133.96
2022,可隆-山西,短裤,143,447,44,771,975,527,568278.07,975,634,806.1,124.63,569.3,650.31,725.09,806.1,887.11,961.88,1067.82,553.02,67.76
2022,可隆-山西,羽绒服,832,941,204,1345,2566,1869,8167971.13,2566,1977,4008.54,724.21,2632.54,3103.28,3537.81,4008.54,4479.28,4913.81,5529.39,3324.82,631.9
2022,可隆-山西,衬衫,378,740,172,1216,1882,823,1623605.75,1882,1290,1246.26,220.65,827.03,970.45,1102.84,1246.26,1389.68,1522.07,1709.62,843.22,232.83
2022,可隆-山西,软壳夹克,551,1136,364,1766,3348,2273,8720679.02,3348,2051,3144.23,709.34,1796.48,2257.55,2683.16,3144.23,3605.3,4030.91,4633.85,2645.29,342.97
2022,可隆-山西,连衣裙,166,103,39,259,517,284,429965.94,517,308,1620.91,449.59,766.69,1058.92,1328.67,1620.91,1913.14,2182.89,2565.04,908.04,244.08
2022,可隆-山西,配件,431,585,221,1062,2466,1229,917040.09,2466,1237,423.43,110.49,213.5,285.32,351.61,423.43,495.25,561.54,655.45,365.35,99.99
2022,可隆-山西,针织夹克,492,589,73,865,1756,992,1651892.2,1756,1154,1423.37,344.94,767.98,992.19,1199.16,1423.37,1647.58,1854.55,2147.75,968.84,257.7
2022,可隆-山西,长袖T恤,1131,1300,384,1980,4685,1707,4139434.11,4685,2815,953.29,207.08,559.84,694.44,818.69,953.29,1087.89,1212.14,1388.15,893.1,168.77
2022,可隆-山西,长裤,955,1008,286,1847,4150,2102,3003652.76,4150,2249,1498.96,314.09,902.18,1106.34,1294.8,1498.96,1703.12,1891.58,2158.56,735.44,130.8
2022,可隆-山西,防水夹克,940,978,197,1716,3557,1477,9509860.16,3557,2115,3728.83,833.25,2145.66,2687.27,3187.22,3728.83,4270.45,4770.4,5478.66,2624.22,604.67
2022,可隆-山西,防风夹克,497,582,276,1368,2046,1296,4402794.65,2046,1355,2768.46,827.52,1196.18,1734.07,2230.58,2768.46,3306.35,3802.86,4506.25,2092.95,505.84
2022,可隆-山西,鞋,588,852,181,1317,2970,1240,4474174.69,2970,1621,2235.9,405.05,1466.31,1729.59,1972.62,2235.9,2499.18,2742.21,3086.5,1446.82,340.73
2022,可隆-山西,马夹,209,418,58,708,1112,577,1223770.49,1112,685,1885.73,429.06,1070.51,1349.4,1606.84,1885.73,2164.62,2422.06,2786.76,1291.35,253.71
2022,可隆-新疆,POLO,470,542,227,1032,1951,885,1411377.33,1951,1239,921.76,212.41,518.19,656.25,783.7,921.76,1059.83,1187.27,1367.81,706.57,194.58
2022,可隆-新疆,三合一夹克,231,253,72,557,991,735,2759416.71,991,556,4164.39,825.81,2595.36,3132.13,3627.62,4164.39,4701.17,5196.66,5898.59,2628.26,517.16
2022,可隆-新疆,其他,145,176,32,324,498,198,112625.59,498,353,325.29,60.68,210.0,249.44,285.85,325.29,364.73,401.14,452.71,224.72,50.8
2022,可隆-新疆,卫衣,491,634,122,1053,1914,747,1501973.67,1914,1247,1115.11,225.33,686.99,833.45,968.65,1115.11,1261.58,1396.78,1588.31,777.02,145.62
2022,可隆-新疆,抓绒夹克,272,376,62,597,1118,506,1688155.42,1118,710,1729.56,370.84,1024.96,1266.01,1488.51,1729.56,1970.6,2193.11,2508.32,1550.59,390.48
2022,可隆-新疆,棉服,223,257,81,459,805,428,1593272.68,805,561,3076.82,488.44,2148.79,2466.28,2759.34,3076.82,3394.31,3687.37,4102.54,2032.21,568.94
2022,可隆-新疆,短袖T恤,395,962,88,1153,1606,582,902941.48,1606,1445,774.05,134.35,518.79,606.11,686.72,774.05,861.38,941.99,1056.18,527.71,88.77
2022,可隆-新疆,短裤,196,228,59,389,807,589,532532.68,807,483,864.5,223.03,440.75,585.72,719.53,864.5,1009.47,1143.29,1332.86,596.62,80.57
2022,可隆-新疆,羽绒服,437,558,164,1004,1760,752,3068078.02,1760,1159,3144.16,458.75,2272.53,2570.72,2845.97,3144.16,3442.35,3717.6,4107.54,1766.33,290.91
